Name	GeneDB IDs	Log2 H/L	Log10 (Int H*L)	Group	Glycosome status 
	Tb927.3.790 	0.422151998	13.16825744	i	red
	Tb927.10.200 	0.421694581	15.28382969	i	red
	Tb927.1.1130 	0.420724919	10.7173794	i	red
	Tb927.7.280 	0.420426314	15.03126219	i	red
	Tb927.7.2540 	0.419829128	13.06974121	i	red
	Tb927.10.12930 	0.416913282	12.61822337	i	red
	Tb927.10.15010 	0.416909845	13.61452823	i	red
	Tb927.7.3780 	0.414027259	10.28919605	i	red
	Tb09.211.1850 	0.413946307	13.30104478	i	red
	Tb927.10.10320 	0.412165108	14.27459285	i	red
	Tb927.10.8660 	0.411980711	13.21837848	i	red
	Tb11.01.4860 	0.411875328	15.37678959	i	red
	Tb09.211.3330 	0.411106106	15.40819604	i	red
	Tb11.02.5030 	0.410666733	11.6285802	i	red
	Tb927.10.9440 	0.410481688	15.07959307	i	red
	Tb09.160.3730 	0.409689628	14.3322349	i	red
	Tb11.02.5770 	0.406950863	14.42504844	i	red
	Tb927.1.4100 	0.405912992	16.99671502	i	red
	Tb927.1.3000 	0.405447844	15.76272033	i	red
	Tb927.6.4530 	0.403479879	13.87424747	i	red
	Tb09.160.4840 	0.402521476	14.60344374	i	red
	Tb09.211.1900 	0.401895566	14.06282564	i	red
	Tb09.160.2380 	0.40019108	13.35918125	i	red
	Tb927.10.3640 	0.399566825	15.22283866	i	red
	Tb927.10.7190 	0.398897571	12.48384863	i	red
	Tb927.6.2170 	0.398295575	13.00501934	i	red
	Tb927.10.14650 	0.395940218	13.15158462	i	red
	Tb927.8.7190 	0.395734671	13.48566222	i	red
	Tb09.160.4440 	0.391046049	13.46507183	i	red
	Tb927.6.3040 	0.389320144	15.23484031	i	red
	Tb927.8.980 	0.389237847	18.00725084	i	red
	Tb927.6.1220 	0.386921282	10.63379446	i	red
	Tb927.7.4520 	0.38663721	15.02294137	i	red
	Tb927.4.1660 	0.38651267	11.2112991	i	red
	Tb927.10.6200 	0.3852687	14.18614707	i	red
	Tb927.4.1160 	0.384049807	12.24827795	i	red
	Tb927.10.4310 	0.383836061	16.94327881	i	red
	Tb927.10.8320 	0.383068492	15.99216119	i	red
	Tb09.211.4740 	0.38211903	14.3695425	i	red
	Tb927.5.1130 	0.382026281	13.76000326	i	red
	Tb927.10.7920 	0.381837084	12.39853991	i	red
	Tb09.160.2460 	0.381061828	12.03440495	i	red
	Tb11.02.0445 	0.378124798	14.45251199	i	red
	Tb927.6.1640 	0.377734578	12.90883608	i	red
	Tb11.01.2110 	0.377068206	10.9868391	i	red
	Tb11.01.5460 	0.376623787	10.23411688	i	red
	Tb927.8.6450 	0.376623787	13.96856303	i	red
	Tb927.10.5750 	0.375623344	12.57811848	i	red
	Tb927.2.2430 	0.374013678	13.93332352	i	red
	Tb09.160.4680 	0.373174891	10.20510249	i	red
	Tb927.8.4810 	0.370802621	16.71104949	i	red
	Tb11.01.4720 	0.369090484	11.77393774	i	red
	Tb927.2.1560 	0.368981187	14.29466816	i	red
	Tb927.7.4210 	0.368008393	11.90752306	i	red
	Tb11.01.6060 	0.3675852	12.22864182	i	red
	Tb11.02.1030 	0.367035516	12.70494636	i	red
	Tb927.6.1570 	0.367035516	13.0832079	i	red
	Tb11.02.3900 	0.366364183	12.35764911	i	red
	Tb927.7.6840 	0.366140336	12.75275866	i	red
	Tb927.10.15660 	0.365608836	11.47032872	i	red
	Tb927.3.840 	0.364518535	11.64753131	i	red
	Tb927.5.920 	0.364218027	11.76353023	i	red
	Tb927.7.5130 	0.36272828	12.78920843	i	red
	Tb09.211.2530 	0.362418088	15.16987267	i	red
	Tb927.1.4500 	0.36232961	12.99964409	i	red
	Tb927.8.5410 	0.361880627	13.73653988	i	red
	Tb11.02.3570 	0.360658056	14.14827541	i	red
	Tb927.10.6710 	0.360471455	11.17905812	i	red
	Tb927.7.4810 	0.360097181	12.63120448	i	red
	Tb11.01.8225 	0.3589331	16.03896819	i	red
	Tb927.3.750 	0.357913935	13.75078852	i	red
	Tb11.01.2840 	0.357323504	14.00861525	i	red
	Tb927.2.1330 	0.356804438	17.04683831	i	red
	Tb927.6.2270 	0.356369214	12.1005838	i	red
	Tb927.10.1580 	0.35509619	15.2706352	i	red
	Tb927.1.4830 	0.354358565	14.93460634	i	red
	Tb11.02.5180 	0.352532557	13.04223467	i	red
	Tb927.7.3520 	0.352532557	14.47112301	i	red
	Tb11.57.0003 	0.350460209	14.93442465	i	red
	Tb927.10.3760 	0.350157749	13.33881192	i	red
	Tb927.3.3410 	0.349252032	16.02424464	i	red
	Tb927.10.4830 	0.347307964	12.39309806	i	red
	Tb927.6.2420 	0.346496194	14.5642959	i	red
	Tb927.10.13830 	0.345775395	11.60187955	i	red
	Tb927.1.4760 	0.344487663	16.86121969	i	red
	Tb927.6.1270 	0.344153618	11.31267844	i	red
	Tb927.7.7440 	0.342798	15.29610141	i	red
	Tb09.160.0900 	0.342448744	11.5361951	i	red
	Tb09.160.1820 	0.34108261	16.67575571	i	red
	Tb11.01.5600 	0.340847077	11.61713555	i	red
	Tb927.10.3120 	0.33929945	12.10234715	i	red
	Tb927.10.7570 	0.337831758	16.05639692	i	red
	Tb927.4.1290 	0.337425664	10.70718226	i	red
	Tb11.01.1990 	0.336740407	11.35629646	i	red
	Tb09.211.4700 	0.33657689	16.51047407	i	red
	Tb927.7.2360 	0.336489497	13.86703613	i	red
	Tb11.01.1640 	0.33648163	13.71290797	i	red
	Tb11.01.3860 	0.335301873	15.59193399	i	red
	Tb927.8.6480 	0.331585613	13.42672878	i	red
	Tb09.211.3770 	0.331361267	15.007443	i	red
	Tb09.160.0680 	0.329790161	15.72402894	i	red
	Tb927.7.4420 	0.329755086	13.86803285	i	red
	Tb927.5.950 	0.329161784	15.04033693	i	red
	Tb927.5.3590 	0.327961003	11.48102084	i	red
	Tb927.8.3160 	0.326652391	11.1099396	i	red
	Tb927.8.5560 	0.32623499	13.3657749	i	red
	Tb927.10.12010 	0.325731791	12.75191067	i	red
	Tb927.1.1770 	0.325129932	12.55264322	i	red
	Tb927.2.4830 	0.324865233	13.1017717	i	red
	Tb927.10.12210 	0.324203435	15.80495121	i	red
	Tb927.6.2740 	0.323927212	15.74493844	i	red
	Tb927.8.5120 	0.323085488	15.98794005	i	red
	Tb927.10.2630 	0.32308179	13.95957903	i	red
	Tb927.8.3560 	0.321697245	12.22206184	i	red
	Tb927.6.1550 	0.321478415	14.15245382	i	red
	Tb11.01.2410 	0.319642231	11.80603851	i	red
	Tb09.v1.0130 	0.318344727	13.32294809	i	red
	Tb11.01.5260 	0.318341175	12.53942964	i	red
	Tb927.2.560 	0.318112489	14.08548417	i	red
	Tb927.3.780 	0.317188278	14.19029359	i	red
	Tb11.52.0001 	0.316029859	13.17129794	i	red
	Tb11.01.7830 	0.316029859	13.61902244	i	red
	Tb927.8.4930 	0.315360769	10.92643359	i	red
	Tb11.01.3570 	0.315228359	12.69446487	i	red
	Tb927.10.2290 	0.314502592	14.42511922	i	red
	Tb927.4.630 	0.313917125	12.96411938	i	red
	Tb09.160.2810 	0.313728872	16.05565224	i	red
	Tb927.10.2560 	0.313591109	18.37200396	i	red
	Tb927.7.2070 	0.313399526	14.62381178	i	red
	Tb11.02.4080 	0.312071195	15.68263505	i	red
	Tb09.211.2550 	0.311347006	13.83423594	i	red
	Tb927.7.2700 	0.311256964	16.66022121	i	red
	Tb11.03.0510 	0.311128145	14.83787618	i	red
	Tb927.1.180 	0.310158936	14.19737781	i	red
	Tb09.160.3480 	0.309130137	12.11714131	i	red
	Tb927.8.2530 	0.308710351	12.79498699	i	red
	Tb927.2.280 	0.308534659	14.79663615	i	red
	Tb927.10.3630 	0.308016763	11.44621917	i	red
	Tb927.7.4440 	0.30689664	13.41484019	i	red
	Tb927.3.5460 	0.305561099	15.16282175	i	red
	Tb11.02.5270 	0.304451532	10.64333721	i	red
	Tb11.02.5105 	0.304394837	14.61604141	i	red
	Tb927.7.3640 	0.303973728	13.73551678	i	red
	Tb927.10.5540 	0.303917459	12.94510428	i	red
	Tb11.03.0210 	0.303459302	12.02198289	i	red
	Tb09.160.4380 	0.30325482	15.55621165	i	red
	Tb927.4.5150 	0.301526296	13.79746967	i	red
	Tb927.3.1970 	0.300926804	15.52518307	i	red
	Tb927.10.15710 	0.300679641	12.83181129	i	red
	Tb927.5.2100 	0.300440729	12.16066546	i	red
	Tb11.01.2510 	0.298541019	12.67429162	i	red
	Tb927.1.4680 	0.298423712	12.76455466	i	red
	Tb11.03.0815 	0.298071735	12.70022974	i	red
	Tb11.02.1080 	0.29603429	11.90474056	i	red
	Tb09.211.1590 	0.295840551	14.57404615	i	red
	Tb927.8.4020 	0.294781991	13.58817707	i	red
	Tb927.3.2080 	0.294500093	14.9990375	i	red
	Tb11.02.4240 	0.294429602	9.688556085	i	red
	Tb927.10.11700 	0.294145103	14.25155538	i	red
	Tb927.5.510 	0.29323577	15.292975	i	red
	Tb11.02.5320 	0.292895899	13.80871269	i	red
	Tb927.6.2230 	0.291839273	14.99140485	i	red
	Tb927.5.2560 	0.291345409	12.51555737	i	red
	Tb11.01.0625 	0.291333028	13.82290709	i	red
	Tb927.1.2190 	0.291014101	11.68843605	i	red
	Tb927.6.1260 	0.290778251	13.17387564	i	red
	Tb927.8.1950 	0.290450123	14.29559677	i	red
	Tb11.12.0014 	0.290393456	13.73887966	i	red
	Tb11.01.2210 	0.290212495	14.07926057	i	red
	Tb11.01.2350 	0.289116561	12.61174242	i	red
	Tb11.01.5750 	0.286644621	13.75179601	i	red
	Tb927.6.3290 	0.284699864	13.41206662	i	red
	Tb927.1.4010 	0.284594954	10.94902378	i	red
	Tb927.7.4970 	0.282261867	15.69441206	i	red
	Tb927.6.2630 	0.280600049	12.82295605	i	red
	Tb11.v4.0004 	0.279710705	15.50080379	i	red
	Tb927.10.9960 	0.279411863	12.13843115	i	red
	Tb927.5.3040 	0.278698482	12.72062198	i	red
	Tb927.1.3030 	0.275126274	12.84436607	i	red
	Tb927.10.4170 	0.275126274	13.27875924	i	red
	Tb927.8.3260 	0.275046661	13.03413565	i	red
	Tb927.4.5370 	0.272739878	11.1658501	i	red
	Tb927.8.1210 	0.271652398	14.6096812	i	red
	Tb927.8.7390 	0.271295241	14.14857326	i	red
	Tb09.160.0730 	0.271274891	12.03847231	i	red
	Tb927.8.2290 	0.27102198	15.8996273	i	red
	Tb927.10.8040 	0.270984455	15.74414433	i	red
	Tb09.160.0560 	0.270947487	12.87007749	i	red
	Tb927.2.4520 	0.270827916	13.27323045	i	red
	Tb927.4.2350 	0.270110276	13.06216457	i	red
	Tb927.7.2200 	0.269983764	14.64599432	i	red
	Tb927.5.2780 	0.268673925	11.68137819	i	red
	Tb11.39.0010 	0.268208867	11.69452059	i	red
	Tb927.10.7210 	0.267715562	12.15813352	i	red
	Tb927.10.13260 	0.267356012	10.07408356	i	red
	Tb927.10.6010 	0.265981433	13.90913044	i	red
	Tb11.01.5350 	0.264725409	14.94714075	i	red
	Tb927.8.7380 	0.264425835	10.18430087	i	red
	Tb927.3.5440 	0.264356271	12.81226021	i	red
	Tb927.4.5080 	0.264356271	13.29768902	i	red
	Tb927.3.3900 	0.26421007	15.87551352	i	red
	Tb927.7.4750 	0.264134887	13.37964099	i	red
	Tb927.7.3200 	0.26408168	14.39817925	i	red
	Tb927.5.4470 	0.263755573	12.77220229	i	red
	Tb927.5.4460 	0.263530602	14.05060529	i	red
	Tb11.01.7200 	0.263488717	14.58012614	i	red
	Tb927.2.6070 	0.263186535	13.11225354	i	red
	Tb11.01.4870 	0.262997983	13.72542546	i	red
	Tb09.211.3950 	0.262208434	12.91395701	i	red
	Tb927.5.440 	0.262111725	16.55794931	i	red
	Tb927.3.3110 	0.261229909	11.74566578	i	red
	Tb927.5.2900 	0.261109529	14.2786252	i	red
	Tb927.8.5390 	0.260989139	11.12470231	i	red
	Tb927.10.13600 	0.260618452	12.20255868	i	red
	Tb11.01.0700 	0.25886812	17.76585075	i	red
	Tb11.01.4700 	0.258820397	13.15390767	i	red
	Tb927.3.3040 	0.258388582	12.81201502	i	red
	Tb927.8.4330 	0.257399655	15.60428789	i	red
	Tb927.4.2440 	0.257131341	12.89229067	i	red
	Tb927.10.2730 	0.25553826	14.42708275	i	red
	Tb927.7.3590 	0.254036428	15.88386682	i	red
	Tb927.10.8080 	0.253516153	13.82388262	i	red
	Tb927.7.570 	0.253049212	14.00181504	i	red
	Tb927.10.11660 	0.252357362	16.2766815	i	red
	Tb11.01.5180 	0.252294541	14.07003157	i	red
	Tb927.7.7280 	0.252035205	14.45035673	i	red
	Tb11.55.0026 	0.25165116	14.74900463	i	red
	Tb927.4.2850 	0.251248114	13.98811097	i	red
	Tb927.3.1600 	0.250046337	13.12375236	i	red
	Tb927.6.2650 	0.249597002	14.33397378	i	red
	Tb11.02.3390 	0.249222696	13.541916	i	red
	Tb11.57.0001 	0.24902051	15.20798137	i	red
	Tb927.10.6190 	0.24875293	15.35758493	i	red
	Tb927.5.1880 	0.247899087	14.7407639	i	red
	Tb927.8.6950 	0.246712101	11.85260622	i	red
	Tb927.10.6920 	0.245565521	12.74925825	i	red
	Tb927.10.7710 	0.245529668	14.56294844	i	red
	Tb11.01.1650 	0.2454965	16.2105614	i	red
	Tb927.5.4330 	0.245005898	13.2483788	i	red
	Tb927.4.840 	0.244742993	12.99663644	i	red
	Tb927.2.4390 	0.244643546	14.15274634	i	red
	Tb927.10.13110 	0.243769086	15.04295789	i	red
	Tb11.01.5490 	0.243547227	13.25972464	i	red
	Tb927.8.7790 	0.243516428	15.08256756	i	red
	Tb927.7.5910 	0.243425362	12.67763804	i	red
	Tb927.8.6890 	0.243056814	12.59054889	i	red
	Tb11.01.5320 	0.242664206	15.40180062	i	red
	Tb09.211.2330 	0.242195244	16.61638373	i	red
	Tb09.160.4590 	0.241609779	14.65857657	i	red
	Tb927.10.2900 	0.241504007	16.253525	i	red
	Tb927.6.2000 	0.241197168	11.24041348	i	red
	Tb927.8.3380 	0.240477418	16.16225963	i	red
	Tb09.211.3830 	0.240052528	17.06952504	i	red
	Tb11.01.5190 	0.239734116	14.52963012	i	red
	Tb927.7.2240 	0.238999985	15.95566318	i	red
	Tb927.10.12540 	0.23878686	11.36992334	i	red
	Tb927.10.15580 	0.23878686	13.02593588	i	red
	Tb927.10.5180 	0.23755763	11.24049748	i	red
	Tb927.10.14820 	0.236717085	18.58137905	i	red
	Tb09.211.4470 	0.235526162	18.43670965	i	red
	Tb927.5.3340 	0.235042447	10.75465603	i	red
	Tb927.7.6460 	0.234133396	12.29312094	i	red
	Tb927.6.2500 	0.233629832	12.89329996	i	red
	Tb927.10.14240 	0.233565824	14.44088264	i	red
	Tb927.7.1520 	0.232701153	11.36898194	i	red
	Tb927.10.8060 	0.232660757	16.45739717	i	red
	Tb927.3.4170 	0.231603682	15.22339367	i	red
	Tb927.10.6220 	0.231328682	9.92837877	i	red
	Tb927.3.880 	0.231079297	15.02898251	i	red
	Tb927.8.7290 	0.231074319	13.42308351	i	red
	Tb09.211.3970 	0.230940776	11.68499267	i	red
	Tb11.01.3890 	0.230382218	14.50855151	i	red
	Tb927.3.5200 	0.229904523	13.06300873	i	red
	Tb927.6.2850 	0.228737119	12.40953609	i	red
	Tb927.6.200 	0.227987459	12.19239611	i	red
	Tb927.5.1470 	0.22765511	14.42572686	i	red
	Tb927.3.3000 	0.227654928	15.27541571	i	red
	Tb927.6.3600 	0.226847222	11.60741183	i	red
	Tb09.160.2060 	0.225768496	12.84086156	i	red
	Tb927.7.3960 	0.225697629	12.92871922	i	red
	Tb927.8.7520 	0.225429111	11.98697257	i	red
	Tb09.160.4520 	0.225372489	11.80512474	i	red
	Tb927.8.3090 	0.224904644	13.11330678	i	red
	Tb927.4.3430 	0.224163787	11.79161498	i	red
	Tb11.02.2380 	0.221049104	16.53800981	i	red
	Tb11.01.6360 	0.220988119	15.68467176	i	red
	Tb927.2.2940 	0.219559314	10.76763983	i	red
	Tb927.5.2890 	0.218719182	14.63247253	i	red
	Tb927.2.4980 	0.217735481	14.46752352	i	red
	Tb927.10.340 	0.21741116	13.48738746	i	red
	Tb927.5.340 	0.217354814	13.64302379	i	red
	Tb927.5.320 	0.217106608	14.17484217	i	red
	Tb927.8.2050 		13.75821137	i	red
	Tb927.1.2580 	0.216113358	14.1789582	i	red
	Tb927.10.7470 	0.21549223	13.24269424	i	red
	Tb927.6.570 	0.215217426	13.48050796	i	red
	Tb927.10.430 	0.215067958	11.83745082	i	red
	Tb927.8.5060 	0.215046475	14.46340016	i	red
	Tb927.10.2530 	0.214934833	16.3006214	i	red
	Tb927.5.680 	0.214603765	14.69564544	i	red
	Tb927.3.4680 	0.214344922	13.73986444	i	red
	Tb11.01.3750 	0.213719564	16.40680389	i	red
	Tb927.10.1550 	0.213715155	14.36793562	i	red
	Tb11.01.8470 	0.213072128	15.98090561	i	red
	Tb927.8.3450 	0.212507085	11.72823728	i	red
	Tb09.211.0350 	0.212137106	14.86024827	i	red
	Tb927.10.7350 	0.211889293	15.08031067	i	red
	Tb11.18.0014 	0.211381102	11.64734369	i	red
	Tb927.3.2150 	0.211316149	15.4201118	i	red
	Tb927.5.1060 	0.211063133	17.65563182	i	red
	Tb927.10.11590 	0.211000686	14.21795765	i	red
	Tb09.211.1960 	0.210887549	12.35182975	i	red
	Tb11.02.3110 	0.210622952	11.9241544	i	red
	Tb927.7.4760 	0.210373252	13.56455451	i	red
	Tb927.8.750 	0.210313706	13.62017774	i	red
	Tb09.211.0370 	0.21020792	11.96037868	i	red
	Tb927.6.4000 	0.207604612	13.90152492	i	red
	Tb11.01.8640 	0.207033404	14.64888927	i	red
	Tb927.10.11800 	0.205530066	10.75566428	i	red
	Tb927.3.5520 	0.204455508	16.0153771	i	red
	Tb927.10.11020 	0.204265945	12.73714954	i	red
	Tb927.6.1860 	0.204227807	14.10670563	i	red
	Tb927.5.2670 	0.203263813	13.72122675	i	red
	Tb927.10.770 	0.20294835	14.24214398	i	red
	Tb927.6.4840 	0.202650375	18.1749869	i	red
	Tb927.3.860 	0.202600322	15.20679952	i	red
	Tb927.6.4130 	0.202472993	14.88923807	i	red
	Tb11.01.0130 	0.20137602	13.91826886	i	red
	Tb927.7.3530 	0.201257457	11.15604988	i	red
	Tb11.03.0890 	0.199750857	11.92653635	i	red
	Tb927.2.2970 	0.199444445	15.4772369	i	red
	Tb11.01.2740 	0.199207395	16.2639379	i	red
	Tb927.1.1380 	0.198354566	14.43686776	i	red
	Tb927.6.2370 	0.198111599	13.39264851	i	red
	Tb927.4.920 	0.197991166	11.22520526	i	red
	Tb927.10.13510 	0.196913523	15.1777607	i	red
	Tb09.160.0850 	0.195725548	13.77254432	i	red
	Tb927.6.3170 	0.195211888	14.01897785	i	red
	Tb927.3.3710 	0.195141706	13.21095414	i	red
	Tb927.10.8020 	0.195095577	15.39548618	i	red
	Tb11.01.0460 	0.195027799	14.57625395	i	red
	Tb927.10.11180 	0.1945191	11.38588986	i	red
	Tb927.10.730 	0.193920673	15.298187	i	red
	Tb09.160.0490 	0.19391562	12.8056142	i	red
	Tb927.10.7490 	0.192446694	13.47464478	i	red
	Tb09.160.4220 	0.19058659	12.7961733	i	red
	Tb09.160.0770 	0.190329374	15.77219768	i	red
	Tb927.1.2430 	0.18944002	17.64033405	i	red
	Tb927.3.3280 	0.189228013	13.39526659	i	red
	Tb927.6.3450 	0.189018712	13.93783682	i	red
	Tb927.6.4760 	0.188780698	14.51038035	i	red
	Tb09.211.0775 	0.188217397	15.86619099	i	red
	Tb927.10.5790 	0.18815063	15.06868851	i	red
	Tb11.01.3190 	0.187681848	15.13764713	i	red
	Tb927.5.4170 	0.187668583	18.4297422	i	red
	Tb927.2.2440 	0.187610324	15.98701581	i	red
	Tb927.10.9140 	0.187531485	12.64847152	i	red
	Tb927.10.4900 	0.187201615	13.04896512	i	red
	Tb927.5.4020 	0.187000835	15.51162892	i	red
	Tb927.8.3520 	0.186092116	13.31005333	i	red
	Tb927.10.3040 	0.185984389	15.53013984	i	red
	Tb927.6.4330 	0.185486004	13.24644241	i	red
	Tb927.5.3850 	0.185069091	13.22837215	i	red
	Tb927.10.12370 	0.184597684	13.38532653	i	red
	Tb927.2.5230 	0.184414152	12.18575368	i	red
	Tb11.12.0005 	0.184236306	12.39980215	i	red
	Tb11.01.5480 	0.182946495	11.16228546	i	red
	Tb927.10.2670 	0.182692298	12.0912326	i	red
	Tb927.2.1790 	0.182138925	11.92609882	i	red
	Tb927.7.6470 	0.182056609	13.3651453	i	red
	Tb927.4.3580 	0.181166174	11.75055599	i	red
	Tb927.4.4910 	0.181009151	15.97149216	i	red
	Tb11.02.2090 	0.180911663	11.89953722	i	red
	Tb11.01.8090 	0.180648354	16.64913685	i	red
	Tb927.4.2210 	0.180140951	14.14527586	i	red
	Tb927.8.1600 	0.179893171	15.23017466	i	red
	Tb927.10.12180 	0.17938925	14.37828097	i	red
	Tb927.3.1290 	0.178690739	15.49573288	i	red
	Tb11.02.2600 	0.178675545	12.84170223	i	red
	Tb927.2.3370 	0.17830871	12.95587693	i	red
	Tb927.10.8420 	0.178236585	13.78591351	i	red
	Tb927.10.4690 	0.177992071	13.8298826	i	red
	Tb11.22.0008 	0.177981556	10.5557193	i	red
	Tb927.1.710 	0.177918418	16.322932	i	red
	Tb927.10.7550 	0.177854025	9.847166127	i	red
	Tb927.6.2060 	0.177343788	16.18197637	i	red
	Tb927.4.1440 	0.176640465	13.02427114	i	red
	Tb11.01.6030 	0.175173266	13.5206087	i	red
	Tb927.2.5050 	0.174687535	14.19842203	i	red
	Tb927.2.4700 	0.173894961	14.73650961	i	red
	Tb09.211.1040 	0.173255383	12.27731143	i	red
	Tb11.02.5530 	0.173127433	13.23651578	i	red
	Tb927.8.6910 	0.173078338	15.7619255	i	red
	Tb927.10.6670 	0.171847314	14.59449615	i	red
	Tb927.7.5820 	0.171732588	15.20703028	i	red
	Tb927.10.1240 	0.171463056	12.30552859	i	red
	Tb927.8.3790 	0.170950553	14.88788145	i	red
	Tb927.4.4560 	0.170686875	13.37444985	i	red
	Tb11.02.2060 	0.170434829	14.95099993	i	red
	Tb927.1.4690 	0.170181458	12.81460841	i	red
	Tb11.01.5010 	0.169955816	14.30122783	i	red
	Tb927.4.3850 	0.169637459	14.36571507	i	red
	Tb927.3.5610 	0.169397898	12.25021353	i	red
	Tb09.160.5150 	0.16889872	11.57178897	i	red
	Tb927.4.1310 	0.168000125	11.11964336	i	red
	Tb927.10.12050 	0.167374639	12.56588975	i	red
	Tb927.5.1370 	0.166807434	12.66985076	i	red
	Tb927.10.9920 	0.166649061	15.76369885	i	red
	Tb927.7.1280 	0.166201253	13.76646263	i	red
	Tb927.3.1170 	0.166074795	11.36544075	i	red
	Tb927.3.5550 	0.165133397	15.83588734	i	red
	Tb11.02.3670 	0.164990898	13.95265878	i	red
	Tb927.7.5080 	0.16491497	11.73428298	i	red
	Tb927.6.1290 	0.16491497	14.23285788	i	red
	Tb11.02.5340 	0.164194763	13.36719097	i	red
	Tb927.2.2460 	0.163896877	15.046703	i	red
	Tb927.8.2550 	0.163735898	14.46970165	i	red
	Tb927.7.1170 	0.162057039	14.20664482	i	red
	Tb927.7.6670 	0.160972928	13.52593817	i	red
	Tb927.2.5820 	0.160855903	15.84337038	i	red
	Tb11.01.4880 	0.160391556	13.85415099	i	red
	Tb927.7.7410 	0.159819233	15.13473569	i	red
	Tb927.10.4250 	0.159370847	14.49320851	i	red
	Tb927.5.1200 	0.158468165	11.81517246	i	red
	Tb927.8.5040 	0.158279711	13.74101777	i	red
	Tb927.7.5480 	0.157949154	11.66061274	i	red
	Tb927.10.2640 	0.157925029	16.25796157	i	red
	Tb09.211.3680 	0.157880215	14.91642593	i	red
	Tb927.10.5020 	0.157508992	15.16415911	i	red
	Tb11.03.0460 	0.156705038	12.10098592	i	red
	Tb927.7.7050 	0.156396617	13.58631139	i	red
	Tb927.3.2190 	0.155786835	13.62609768	i	red
	Tb11.02.5790 	0.155749233	11.77712877	i	red
	Tb927.7.2310 	0.155101558	13.93026077	i	red
	Tb927.10.330 	0.153935011	14.54902347	i	red
	Tb927.7.2500 	0.153872085	13.36517901	i	red
	Tb927.10.12890 	0.153252333	17.24404084	i	red
	Tb09.211.2220 	0.152578959	12.63939971	i	red
	Tb927.8.5420 	0.152378145	9.967885325	i	red
	Tb927.10.3150 	0.151847896	13.31136876	i	red
	Tb927.6.4140 	0.151673796	18.25391591	i	red
	Tb927.1.2970 	0.151606619	12.56881323	i	red
	Tb927.10.4730 	0.151406933	13.16487319	i	red
	Tb927.7.3280 	0.15108591	13.217092	i	red
	Tb927.10.8970 	0.150830354	16.62717515	i	red
	Tb927.5.3940 	0.150621893	11.675792	i	red
	Tb09.160.1260 	0.150209105	13.55260001	i	red
	Tb927.8.5630 	0.149909668	13.12729327	i	red
	Tb927.10.10880 	0.149231843	15.87506443	i	red
	Tb927.7.4850 	0.148869044	11.84495086	i	red
	Tb927.5.2660 	0.148732912	13.35746671	i	red
	Tb927.7.5530 	0.148499556	14.21329807	i	red
	Tb927.7.6280 	0.147641979	13.51474744	i	red
	Tb927.8.5200 	0.147436959	11.91724471	i	red
	Tb927.4.3150 	0.146922423	11.97027188	i	red
	Tb09.211.2970 	0.146781602	13.84162625	i	red
	Tb927.5.1000 	0.146277724	15.9410782	i	red
	Tb927.8.4210 	0.146039027	15.75093946	i	red
	Tb927.7.6830 	0.145754113	15.22028126	i	red
	Tb927.2.2770 	0.144017571	16.12263081	i	red
	Tb927.5.1140 	0.143702063	15.98897184	i	red
	Tb927.8.6510 	0.143662334	12.47575244	i	red
	Tb927.5.2770 	0.143445001	16.49192	i	red
	Tb927.7.1620 	0.143393419	12.17015031	i	red
	Tb11.03.0940 	0.143074971	14.98674328	i	red
	Tb927.10.8670 	0.142164424	15.49893054	i	red
	Tb927.8.6970 	0.141301988	12.90805548	i	red
	Tb927.4.1340 	0.140163595	14.1362985	i	red
	Tb927.10.9120 	0.139731422	13.11957756	i	red
	Tb11.18.0013 	0.138532067	14.99201204	i	red
	Tb11.55.0010 	0.13842131	12.2587828	i	red
	Tb927.1.1630 	0.138362183	11.0588439	i	red
	Tb927.6.5140 	0.138007061	12.07489408	i	red
	Tb11.02.5400 	0.137788413	17.65052624	i	red
	Tb927.10.15000 	0.137548187	12.21467061	i	red
	Tb11.01.1800 	0.136978812	14.56391193	i	red
	Tb927.4.2040 	0.136853026	16.28318693	i	red
	Tb11.02.1480 	0.136165417	17.35944912	i	red
	Tb927.7.6850 	0.136026299	17.11671023	i	red
	Tb927.10.8090 	0.135928816	12.45226445	i	red
	Tb09.160.3110 	0.135896911	16.01103149	i	red
	Tb927.10.8870 	0.135891445	12.37751602	i	red
	Tb09.160.3960 	0.135797512	11.23617844	i	red
	Tb927.10.1610 	0.13553487	14.11562682	i	red
	Tb11.02.4660 	0.135507976	14.94235372	i	red
	Tb927.6.700 	0.135099825	16.93454871	i	red
	Tb11.01.0620 	0.134937979	15.58290112	i	red
	Tb11.01.8340 	0.134857164	9.844012797	i	red
	Tb11.01.7630 	0.134843909	14.85545594	i	red
	Tb927.10.9160 	0.13480353	14.88825577	i	red
	Tb927.5.1090 	0.134512045	17.84943171	i	red
	Tb927.8.6860 	0.134192394	16.75481489	i	red
	Tb927.3.4950 	0.133695033	9.945197758	i	red
	Tb927.6.2720 	0.133635338	15.67776474	i	red
	Tb927.8.2240 	0.133564908	13.37520502	i	red
	Tb927.4.1270 	0.133428095	15.09265984	i	red
	Tb927.8.4910 	0.132675906	15.67217437	i	red
	Tb927.8.5940 	0.13211616	12.246052	i	red
	Tb927.3.1120 	0.131904444	17.69415355	i	red
	Tb927.10.7680 	0.131755174	15.2829006	i	red
