Name	GeneDB IDs	Log2 H/L	Log10 (Int H*L)	Group	Glycosome status 
PEX7	Tb927.3.3610 	2.197864359	15.68541376	iii	green
ADH	Tb927.6.3050 	2.172217065	16.87134905	iii	green
MCP-1	Tb927.7.3940 	2.035978535	16.47757857	iii	green
TPN-2	Tb927.3.3760 	1.868126199	17.27575584	iii	green
MCP-2	Tb09.211.1750 	1.8623219	17.61234115	iii	green
polyU	Tb11.01.1680 	1.597086928	17.83889597	iii	green
	Tb11.01.6400 	2.757489454	13.04972189	ii	green
	Tb09.160.3340 	2.668230264	12.97110298	ii	red
Calretic	Tb927.8.7410 	2.654102442	12.03286698	ii	red
ALG3	Tb927.10.6530 	2.633076351	9.835658799	ii	white
NUDIX-2	Tb11.01.1570 	2.554090476	12.8890128	ii	green
	Tb927.10.2760 	2.466172511	12.45999728	ii	red
PP2C-1	Tb927.6.1800 	2.458907024	12.57829944	ii	green
Rab1B	Tb09.244.2070 	2.434803794	11.34588127	ii	red
	Tb11.02.2770 	2.412141357	13.77319011	ii	green
SterDH	Tb927.7.4950 	2.370136028	14.15637566	ii	red
PEX22	Tb927.10.7480 	2.32662449	12.14811267	ii	gray
	Tb927.2.240 	2.272629717	12.21207968	ii	white
	Tb927.10.1280 	2.265001511	13.25841893	ii	gray
	Tb09.160.1220 	2.21457772	11.62696003	ii	white
E2 ligase-2	Tb927.10.2250 	2.189451129	11.65731302	ii	white
	Tb927.8.1370 	2.175837719	13.59636394	ii	gray
EPP	Tb09.160.1950 	2.162714228	14.26611646	ii	green
	Tb927.8.6780 	2.109194101	12.04173691	ii	green
	Tb11.01.1900 	2.002372914	15.55228916	ii	gray
	Tb927.8.5760 	1.993578968	13.65955005	ii	red
	Tb927.8.2310 	1.98701687	11.7688947	ii	green
	Tb927.3.1080 	1.963729808	13.98743063	ii	gray
	Tb927.6.3000 	1.951007787	12.65466861	ii	red
	Tb927.7.3140 	1.93473101	11.94869766	ii	red
SEC18	Tb11.55.0012 	1.92667756	12.284248	ii	white
	Tb927.10.5740 	1.917868765	12.21011499	ii	gray
	Tb927.7.5840 	1.880655721	14.00979262	ii	red
drevMT	Tb927.6.2540 	1.868659887	12.99765585	ii	green
E1 ligase	Tb927.7.6960 	1.868331502	10.72678848	ii	white
	Tb927.6.1080 	1.867510531	14.09822061	ii	green
	Tb927.10.4040 	1.866214739	14.16557229	ii	red
	Tb927.8.1720 	1.851836735	12.61514452	ii	white
	Tb09.211.0680 	1.827498374	16.02949541	ii	green
	Tb927.2.3080 	1.818335006	13.27665989	ii	white
	Tb927.7.1300 	1.811934045	15.24002588	ii	red
PEX1	Tb927.4.1250 	1.807595495	15.65108163	ii	gray
	Tb927.10.6380 	1.799175016	15.23665238	ii	red
	Tb09.211.1390 	1.774641414	14.69731809	ii	white
	Tb927.10.6610 	1.767504555	14.47932371	ii	gray
	Tb927.10.5400 	1.755951248	12.73224901	ii	red
	Tb927.6.3680 	1.749508713	13.37250889	ii	red
	Tb927.6.2200 	1.741433847	16.13909347	ii	green
	Tb11.01.1190 	1.727216313	14.74813312	ii	green
	Tb927.10.4760 	1.715294077	14.49504332	ii	white
	Tb927.7.6260 	1.711909503	14.77644287	ii	red
PEX6	Tb927.5.3920 	1.698917723	15.77639438	ii	green
	Tb927.10.3880 	1.684342744	11.69262574	ii	green
	Tb09.211.3050 	1.680243352	12.18724295	ii	red
PEX5	Tb927.5.1100 	1.679246904	16.18093829	ii	gray
	Tb927.5.3220 	1.679116161	13.41605075	ii	red
HSP70	Tb09.160.3090 	1.67791661	14.01326924	ii	red
	Tb927.8.6000 	1.677328591	12.15093989	ii	red
	Tb11.01.5110 	1.648947414	14.63202039	ii	gray
	Tb927.10.8230 	1.623305893	15.91830938	ii	red
	Tb927.10.12360 	1.59405479	12.27388599	ii	green
	Tb11.02.0560 	1.58265234	11.24979541	ii	white
	Tb927.8.650 	1.578436952	14.58477752	ii	red
	Tb09.211.1220 	1.556573961	15.59504365	ii	red
	Tb927.8.4530 	1.53781203	12.27465862	ii	red
	Tb927.10.6910 	1.53482075	15.93147394	ii	white
	Tb927.7.6770 	1.529647435	12.90659532	ii	green
	Tb11.01.1330 	1.518588543	12.28682891	ii	red
	Tb927.5.1160 	1.485783453	14.29944765	ii	white
	Tb927.8.8200 	1.4698102	13.06380112	ii	white
PDI	Tb927.5.1020 	1.459305469	11.76518789	ii	white
GPI8	Tb927.10.13860 	1.459075628	12.90634002	ii	white
	Tb927.3.5430 	1.422150025	13.89983118	ii	red
	Tb927.1.860 	1.414551102	14.71323414	ii	red
