Protein IDs,LFQ intensity DM-dig,LFQ intensity TbGPI12-dig,dig_log2_fc,dig_log10_int
Tb927.7.4180,157720.0,19738,-2.9983178977669893,4.948065586929409
Tb927.7.4970,9863800.0,611710,-4.011223781714747,6.719145180107437
Tb927.7.5680,4022600.0,7922500,0.9778274684727496,6.7761597941913925
Tb927.7.5940,1067000.0,19738,-5.756440553258322,5.7350948576501874
Tb927.7.6360,19738.0,19738,0.0,4.295303144637152
Tb927.7.7410,2037000.0,302840,-2.7498183018676525,6.0681561653816996
Tb927.7.7430,1787100.0,332310,-2.4270187519868474,6.025184983469437
Tb927.8.1190,433430.0,19738,-4.456751295707913,5.355229239344489
Tb927.8.1340,195140.0,19738,-3.3054618155975337,5.031161957437064
Tb927.8.1510,1203300.0,771800,-0.6406974229944109,5.994559093335838
Tb927.8.1960,351140.0,19738,-4.152998631929506,5.268201076645552
Tb927.8.2210,19738.0,19738,0.0,4.295303144637152
Tb927.8.2240,554550.0,19738,-4.812269826454934,5.458099745938044
Tb927.8.2540,1222500.0,239440,-2.3520983761162197,5.863899553289168
Tb927.8.3150,296420.0,19738,-3.9085950744116915,5.198874179926653
Tb927.8.3530,13743000.0,14631000,0.09033140951785994,7.151890568735089
Tb927.8.4810,30451000.0,17408000,-0.806739144800236,7.378933624250314
Tb927.8.6060,2816400.0,19738,-7.156732624790862,6.151697363139144
Tb927.8.6110,8735300.0,1834600,-2.251391706207202,6.723040882877728
Tb927.8.630,680960.0,88273,-2.9475259216032343,5.585027911481354
Tb927.8.7530,2684500.0,1660900,-0.6926881912291752,6.336999764360528
Tb927.8.7670,5069000.0,1401100,-1.8551412357421493,6.509880997386879
Tb927.8.810,19738.0,19738,0.0,4.295303144637152
Tb927.9.10310,14117000.0,5938700,-1.2492144741888305,7.001207829009802
Tb927.9.10770,2746500.0,137380,-4.321350397151178,6.158947189501965
Tb927.9.11220,327450.0,19738,-4.052226913258482,5.239534710403128
Tb927.9.12320,258670.0,19738,-3.7120650252110194,5.143651714821732
Tb927.9.12630,2412500.0,402500,-2.5834682540408256,6.148448403523384
Tb927.9.13990,20635000.0,11752000,-0.8121871373381171,7.209340725616133
Tb927.9.3760,677030.0,19738,-5.100172044948776,5.542058201240125
Tb927.9.3990,2783500.0,1954200,-0.5103219576361362,6.374537561256844
Tb927.9.4310,15998000.0,4513900,-1.8254451941294292,7.010975894899291
Tb927.9.4680,541290.0,19738,-4.777354017603367,5.447954541068186
Tb927.9.5190,870690.0,777590,-0.16314948822841555,5.916000993326847
Tb927.9.5320,1139300.0,516710,-1.140720976992761,5.918032959328181
Tb927.9.5860,18852000.0,5014000,-1.9106836851814133,7.0767496406240005
Tb927.9.5890,436590.0,19738,-4.467231368296303,5.35824712196341
Tb927.9.7110,2827600.0,3918900,0.47087071262436125,6.528048529032974
Tb927.9.7550,427930.0,19738,-4.438327104741164,5.349926055788676
Tb927.9.8420,1259800.0,798580,-0.6576858703093017,6.012495557789069
Tb927.9.8720,535300.0,19738,-4.761299934861529,5.4432927219188105
Tb927.9.8880,14804000.0,2118600,-2.8048039087068264,6.927437093470797
Tb927.9.9660,611850.0,19738,-4.954130290060214,5.499403874273777
Tb927.9.9820,109790.0,19738,-2.4756989375771097,4.811333664112839
